lemma,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-dobj-ing,Poss-of-ing,Total
testing,0.876075731,0.051204819,0.020654045,0.008175559,0,0.000860585,0
singing,0.853887399,0.065683646,0.020107239,0.049597855,0,0.00536193,0
dancing,0.910675381,0.063180828,0,0.021786492,0,0,0
spending,0.927325581,0.031976744,0.004360465,0.031976744,0,0,0
