sent,tags,parse
Classical music provides a very large window onto societies and their arranging of landscapes to serve cultural aspirations .,Classical/JJ music/NN provides/VBZ a/DT very/RB large/JJ window/NN onto/IN societies/NNS and/CC their/PRP$ arranging/NN of/IN landscapes/NNS to/TO serve/VB cultural/JJ aspirations/NNS ./.," amod(music-2, Classical-1) nsubj(provides-3, music-2) root(ROOT-0, provides-3) det(window-7, a-4) advmod(large-6, very-5) amod(window-7, large-6) dobj(provides-3, window-7) case(societies-9, onto-8) nmod:onto(provides-3, societies-9) cc(societies-9, and-10) nmod:poss(arranging-12, their-11) nmod:onto(provides-3, arranging-12) conj:and(societies-9, arranging-12) case(landscapes-14, of-13) nmod:of(arranging-12, landscapes-14) mark(serve-16, to-15) advcl(provides-3, serve-16) amod(aspirations-18, cultural-17) dobj(serve-16, aspirations-18)  "
"It was his vision that by arranging agreements in time of crisis he was protecting the railroads , industries , and government institutions that were developing the nation , and was satisfied so long as he was honored with lavish praise ( pp.","It/PRP was/VBD his/PRP$ vision/NN that/IN by/IN arranging/VBG agreements/NNS in/IN time/NN of/IN crisis/NN he/PRP was/VBD protecting/VBG the/DT railroads/NNS ,/, industries/NNS ,/, and/CC government/NN institutions/NNS that/WDT were/VBD developing/VBG the/DT nation/NN ,/, and/CC was/VBD satisfied/VBN so/RB long/RB as/IN he/PRP was/VBD honored/RB with/IN lavish/JJ praise/VBN -LRB-/-LRB- pp/NN ./."," nsubj(vision-4, It-1) cop(vision-4, was-2) nmod:poss(vision-4, his-3) root(ROOT-0, vision-4) mark(protecting-15, that-5) mark(arranging-7, by-6) advcl(protecting-15, arranging-7) dobj(arranging-7, agreements-8) case(time-10, in-9) nmod:in(arranging-7, time-10) case(crisis-12, of-11) nmod:of(time-10, crisis-12) nsubj(protecting-15, he-13) aux(protecting-15, was-14) ccomp(vision-4, protecting-15) det(railroads-17, the-16) dobj(protecting-15, railroads-17) dobj(protecting-15, industries-19) conj:and(railroads-17, industries-19) cc(railroads-17, and-21) compound(institutions-23, government-22) dobj(protecting-15, institutions-23) conj:and(railroads-17, institutions-23) nsubj(developing-26, institutions-23) nsubjpass(satisfied-32, institutions-23) ref(institutions-23, that-24) aux(developing-26, were-25) acl:relcl(institutions-23, developing-26) det(nation-28, the-27) dobj(developing-26, nation-28) cc(developing-26, and-30) auxpass(satisfied-32, was-31) acl:relcl(institutions-23, satisfied-32) conj:and(developing-26, satisfied-32) advmod(long-34, so-33) advmod(satisfied-32, long-34) mark(praise-41, as-35) nsubjpass(praise-41, he-36) auxpass(praise-41, was-37) advmod(praise-41, honored-38) case(lavish-40, with-39) advcl:with(honored-38, lavish-40) dep(satisfied-32, praise-41) dobj(praise-41, pp-43)  "
"Village elders emphasized that arranging marriages with lao qin ( existing affines ) was convenient since the families were known to one another , and that such marriages served to consolidate relations between families .","Village/NNP elders/NNS emphasized/VBD that/IN arranging/VBG marriages/NNS with/IN lao/NN qin/NN -LRB-/-LRB- existing/JJ affines/NNS -RRB-/-RRB- was/VBD convenient/JJ since/IN the/DT families/NNS were/VBD known/VBN to/TO one/CD another/DT ,/, and/CC that/IN such/JJ marriages/NNS served/VBD to/TO consolidate/VB relations/NNS between/IN families/NNS ./."," compound(elders-2, Village-1) nsubj(emphasized-3, elders-2) root(ROOT-0, emphasized-3) mark(convenient-15, that-4) csubj(convenient-15, arranging-5) dobj(arranging-5, marriages-6) case(qin-9, with-7) compound(qin-9, lao-8) nmod:with(arranging-5, qin-9) amod(affines-12, existing-11) appos(qin-9, affines-12) cop(convenient-15, was-14) ccomp(emphasized-3, convenient-15) mark(known-20, since-16) det(families-18, the-17) nsubjpass(known-20, families-18) auxpass(known-20, were-19) advcl(convenient-15, known-20) case(one-22, to-21) nmod:to(known-20, one-22) dep(one-22, another-23) cc(known-20, and-25) mark(served-29, that-26) amod(marriages-28, such-27) nsubj(served-29, marriages-28) nsubj(consolidate-31, marriages-28) advcl(convenient-15, served-29) conj:and(known-20, served-29) mark(consolidate-31, to-30) xcomp(served-29, consolidate-31) dobj(consolidate-31, relations-32) case(families-34, between-33) nmod:between(relations-32, families-34)  "
"<p> And arranging various flextime schedules among a group of employees who must closely coordinate their efforts "" can be a very complicated matrix , "" observes Mook of Ogletree , Deakins .","<p>/VB And/CC arranging/VBG various/JJ flextime/NN schedules/NNS among/IN a/DT group/NN of/IN employees/NNS who/WP must/MD closely/RB coordinate/VB their/PRP$ efforts/NNS ''/'' can/MD be/VB a/DT very/RB complicated/VBN matrix/NN ,/, ''/'' observes/VBZ Mook/NNP of/IN Ogletree/NNP ,/, Deakins/NNP ./."," root(ROOT-0, <p>-1) cc(matrix-24, And-2) csubj(matrix-24, arranging-3) amod(schedules-6, various-4) compound(schedules-6, flextime-5) dobj(arranging-3, schedules-6) case(group-9, among-7) det(group-9, a-8) nmod:among(arranging-3, group-9) case(employees-11, of-10) nmod:of(group-9, employees-11) nsubj(coordinate-15, employees-11) ref(employees-11, who-12) aux(coordinate-15, must-13) advmod(coordinate-15, closely-14) acl:relcl(employees-11, coordinate-15) nmod:poss(efforts-17, their-16) dobj(coordinate-15, efforts-17) aux(matrix-24, can-19) cop(matrix-24, be-20) det(matrix-24, a-21) advmod(complicated-23, very-22) amod(matrix-24, complicated-23) ccomp(observes-27, matrix-24) dep(<p>-1, observes-27) nsubj(observes-27, Mook-28) case(Deakins-32, of-29) compound(Deakins-32, Ogletree-30) nmod:of(Mook-28, Deakins-32)  "
"On-campus Advisors report that participants frequently rely on them for help in selecting courses , solving administrative problems , arranging tutoring , financial aid advisement , and just plain encouragement .","On-campus/JJ Advisors/NNPS report/VBP that/IN participants/NNS frequently/RB rely/VBP on/RP them/PRP for/IN help/NN in/IN selecting/VBG courses/NNS ,/, solving/VBG administrative/JJ problems/NNS ,/, arranging/VBG tutoring/VBG ,/, financial/JJ aid/NN advisement/NN ,/, and/CC just/RB plain/JJ encouragement/NN ./."," amod(Advisors-2, On-campus-1) nsubj(report-3, Advisors-2) root(ROOT-0, report-3) mark(rely-7, that-4) nsubj(rely-7, participants-5) advmod(rely-7, frequently-6) ccomp(report-3, rely-7) compound:prt(rely-7, on-8) dobj(rely-7, them-9) case(help-11, for-10) nmod:for(rely-7, help-11) mark(selecting-13, in-12) acl(help-11, selecting-13) dobj(selecting-13, courses-14) dep(selecting-13, solving-16) amod(problems-18, administrative-17) dobj(solving-16, problems-18) dep(selecting-13, arranging-20) advcl(arranging-20, tutoring-21) amod(advisement-25, financial-23) compound(advisement-25, aid-24) dobj(selecting-13, advisement-25) cc(advisement-25, and-27) advmod(encouragement-30, just-28) amod(encouragement-30, plain-29) dobj(selecting-13, encouragement-30) conj:and(advisement-25, encouragement-30)  "
<p> Synoptic Texts <p> The final method of arranging texts is to use synoptic texts ( figure 5 ) .,<p>/NNP Synoptic/NNP Texts/NNP <p>/VBP The/DT final/JJ method/NN of/IN arranging/VBG texts/NNS is/VBZ to/TO use/VB synoptic/JJ texts/NNS -LRB-/-LRB- figure/NN 5/CD -RRB-/-RRB- ./.," compound(Texts-3, <p>-1) compound(Texts-3, Synoptic-2) nsubj(<p>-4, Texts-3) root(ROOT-0, <p>-4) det(method-7, The-5) amod(method-7, final-6) nsubj(is-11, method-7) nsubj(use-13, method-7) mark(arranging-9, of-8) acl(method-7, arranging-9) dobj(arranging-9, texts-10) ccomp(<p>-4, is-11) mark(use-13, to-12) xcomp(is-11, use-13) amod(texts-15, synoptic-14) dobj(use-13, texts-15) appos(texts-15, figure-17) nummod(figure-17, 5-18)  "
"Step #11 Set Up the Store <p> The students set up the store by themselves , rearranging the room with shelves , storage containers , price lists and store hours , and decorations .","Step/VB #/# 11/CD Set/VB Up/IN the/DT Store/NNP <p>/NN The/DT students/NNS set/VBD up/RP the/DT store/NN by/IN themselves/PRP ,/, rearranging/VBG the/DT room/NN with/IN shelves/NNS ,/, storage/NN containers/NNS ,/, price/NN lists/NNS and/CC store/NN hours/NNS ,/, and/CC decorations/VBZ ./."," root(ROOT-0, Step-1) dep(11-3, #-2) nsubj(Set-4, 11-3) ccomp(Step-1, Set-4) case(<p>-8, Up-5) det(<p>-8, the-6) compound(<p>-8, Store-7) nmod:up(set-11, <p>-8) det(students-10, The-9) nsubj(set-11, students-10) nsubj(decorations-34, students-10) ccomp(Set-4, set-11) compound:prt(set-11, up-12) det(store-14, the-13) dobj(set-11, store-14) case(themselves-16, by-15) nmod:by(set-11, themselves-16) dep(set-11, rearranging-18) det(room-20, the-19) dobj(rearranging-18, room-20) case(shelves-22, with-21) nmod:with(rearranging-18, shelves-22) compound(containers-25, storage-24) nmod:with(rearranging-18, containers-25) conj:and(shelves-22, containers-25) compound(lists-28, price-27) nmod:with(rearranging-18, lists-28) conj:and(shelves-22, lists-28) cc(shelves-22, and-29) compound(hours-31, store-30) nmod:with(rearranging-18, hours-31) conj:and(shelves-22, hours-31) cc(set-11, and-33) ccomp(Set-4, decorations-34) conj:and(set-11, decorations-34)  "
"He honed his composing , arranging , and conducting skills working as music director at MGM Studio in Hollywood .","He/PRP honed/VBN his/PRP$ composing/NN ,/, arranging/VBG ,/, and/CC conducting/VBG skills/NNS working/VBG as/IN music/NN director/NN at/IN MGM/NNP Studio/NNP in/IN Hollywood/NNP ./."," nsubj(honed-2, He-1) root(ROOT-0, honed-2) nmod:poss(composing-4, his-3) dobj(honed-2, composing-4) dep(honed-2, arranging-6) cc(arranging-6, and-8) dep(honed-2, conducting-9) conj:and(arranging-6, conducting-9) dobj(conducting-9, skills-10) acl(skills-10, working-11) case(director-14, as-12) compound(director-14, music-13) nmod:as(working-11, director-14) case(Studio-17, at-15) compound(Studio-17, MGM-16) nmod:at(working-11, Studio-17) case(Hollywood-19, in-18) nmod:in(Studio-17, Hollywood-19)  "
Students may also demonstrate conducting mastery by arranging the class 's patterns in novel ways .,Students/NNS may/MD also/RB demonstrate/VB conducting/VBG mastery/RB by/IN arranging/VBG the/DT class/NN 's/POS patterns/NNS in/IN novel/NN ways/NNS ./.," nsubj(demonstrate-4, Students-1) aux(demonstrate-4, may-2) advmod(demonstrate-4, also-3) root(ROOT-0, demonstrate-4) xcomp(demonstrate-4, conducting-5) advmod(conducting-5, mastery-6) mark(arranging-8, by-7) advcl(conducting-5, arranging-8) det(class-10, the-9) nmod:poss(patterns-12, class-10) case(class-10, 's-11) dobj(arranging-8, patterns-12) case(ways-15, in-13) compound(ways-15, novel-14) nmod:in(arranging-8, ways-15)  "
"Or some of these students , after carefully arranging to take one or more music dawes in each semester of high school , may not attain all the skills they need to succeed as music majors in college .","Or/CC some/DT of/IN these/DT students/NNS ,/, after/IN carefully/RB arranging/VBG to/TO take/VB one/CD or/CC more/JJR music/NN dawes/NNS in/IN each/DT semester/NN of/IN high/JJ school/NN ,/, may/MD not/RB attain/VB all/PDT the/DT skills/NNS they/PRP need/VBP to/TO succeed/VB as/IN music/NN majors/NNS in/IN college/NN ./."," cc(attain-26, Or-1) nsubj(attain-26, some-2) case(students-5, of-3) det(students-5, these-4) nmod:of(some-2, students-5) mark(arranging-9, after-7) advmod(arranging-9, carefully-8) advcl(attain-26, arranging-9) mark(take-11, to-10) xcomp(arranging-9, take-11) nummod(dawes-16, one-12) cc(one-12, or-13) conj:or(one-12, more-14) nummod(dawes-16, more-14) compound(dawes-16, music-15) dobj(take-11, dawes-16) case(semester-19, in-17) det(semester-19, each-18) nmod:in(take-11, semester-19) case(school-22, of-20) amod(school-22, high-21) nmod:of(semester-19, school-22) aux(attain-26, may-24) neg(attain-26, not-25) root(ROOT-0, attain-26) det:predet(skills-29, all-27) det(skills-29, the-28) dobj(attain-26, skills-29) nsubj(need-31, they-30) nsubj(succeed-33, they-30) acl:relcl(skills-29, need-31) mark(succeed-33, to-32) xcomp(need-31, succeed-33) case(majors-36, as-34) compound(majors-36, music-35) nmod:as(succeed-33, majors-36) case(college-38, in-37) nmod:in(majors-36, college-38)  "
<p> Senior qualifying examinations include the following : a music technology exam including an arranging/composition and sequencing project a music theory and musicianship exam a piano proficiency exam a music history exam a senior recital .,<p>/JJ Senior/JJ qualifying/NN examinations/NNS include/VBP the/DT following/NN :/: a/DT music/NN technology/NN exam/NN including/VBG an/DT arranging/composition/NN and/CC sequencing/VBG project/NN a/DT music/NN theory/NN and/CC musicianship/NN exam/NN a/DT piano/NN proficiency/NN exam/NN a/DT music/NN history/NN exam/NN a/DT senior/JJ recital/NN ./.," amod(examinations-4, <p>-1) amod(examinations-4, Senior-2) compound(examinations-4, qualifying-3) nsubj(include-5, examinations-4) root(ROOT-0, include-5) det(following-7, the-6) dobj(include-5, following-7) det(exam-12, a-9) compound(exam-12, music-10) compound(exam-12, technology-11) nsubj(theory-21, exam-12) case(arranging/composition-15, including-13) det(arranging/composition-15, an-14) nmod:including(exam-12, arranging/composition-15) cc(arranging/composition-15, and-16) amod(project-18, sequencing-17) nmod:including(exam-12, project-18) conj:and(arranging/composition-15, project-18) det(theory-21, a-19) compound(theory-21, music-20) parataxis(include-5, theory-21) cc(theory-21, and-22) compound(exam-24, musicianship-23) parataxis(include-5, exam-24) conj:and(theory-21, exam-24) det(exam-28, a-25) compound(exam-28, piano-26) compound(exam-28, proficiency-27) dep(theory-21, exam-28) det(exam-32, a-29) compound(exam-32, music-30) compound(exam-32, history-31) dep(theory-21, exam-32) det(recital-35, a-33) amod(recital-35, senior-34) dep(exam-32, recital-35)  "
They first select the teacher ( chilombola ) who will be responsible for arranging the ceremony and for instructing and protecting the initiate .,They/PRP first/RB select/VBP the/DT teacher/NN -LRB-/-LRB- chilombola/NNP -RRB-/-RRB- who/WP will/MD be/VB responsible/JJ for/IN arranging/VBG the/DT ceremony/NN and/CC for/IN instructing/VBG and/CC protecting/VBG the/DT initiate/NN ./.," nsubj(select-3, They-1) advmod(select-3, first-2) root(ROOT-0, select-3) det(teacher-5, the-4) dobj(select-3, teacher-5) nsubj(responsible-12, teacher-5) appos(teacher-5, chilombola-7) ref(teacher-5, who-9) aux(responsible-12, will-10) cop(responsible-12, be-11) acl:relcl(teacher-5, responsible-12) mark(arranging-14, for-13) dep(responsible-12, arranging-14) det(ceremony-16, the-15) dobj(arranging-14, ceremony-16) cc(arranging-14, and-17) mark(instructing-19, for-18) dep(responsible-12, instructing-19) conj:and(arranging-14, instructing-19) cc(instructing-19, and-20) conj:and(arranging-14, protecting-21) conj:and(instructing-19, protecting-21) det(initiate-23, the-22) dobj(instructing-19, initiate-23)  "
"Other strategies for organizing a large rectangular composition include clustering events that involve the same people , dividing the pictorial space to reflect opposing forces of good and evil , and arranging elements to create a harmonious visual effect.","Other/JJ strategies/NNS for/IN organizing/VBG a/DT large/JJ rectangular/JJ composition/NN include/VBP clustering/VBG events/NNS that/WDT involve/VBP the/DT same/JJ people/NNS ,/, dividing/VBG the/DT pictorial/JJ space/NN to/TO reflect/VB opposing/VBG forces/NNS of/IN good/JJ and/CC evil/JJ ,/, and/CC arranging/VBG elements/NNS to/TO create/VB a/DT harmonious/JJ visual/JJ effect/NN ./."," amod(strategies-2, Other-1) nsubj(include-9, strategies-2) mark(organizing-4, for-3) acl(strategies-2, organizing-4) det(composition-8, a-5) amod(composition-8, large-6) amod(composition-8, rectangular-7) dobj(organizing-4, composition-8) root(ROOT-0, include-9) ccomp(include-9, clustering-10) dobj(clustering-10, events-11) nsubj(involve-13, events-11) ref(events-11, that-12) acl:relcl(events-11, involve-13) det(people-16, the-14) amod(people-16, same-15) dobj(involve-13, people-16) ccomp(include-9, dividing-18) conj:and(clustering-10, dividing-18) det(space-21, the-19) amod(space-21, pictorial-20) dobj(dividing-18, space-21) mark(reflect-23, to-22) advcl(dividing-18, reflect-23) amod(forces-25, opposing-24) dobj(reflect-23, forces-25) case(good-27, of-26) acl:of(forces-25, good-27) cc(good-27, and-28) acl:of(forces-25, evil-29) conj:and(good-27, evil-29) cc(clustering-10, and-31) ccomp(include-9, arranging-32) conj:and(clustering-10, arranging-32) dobj(arranging-32, elements-33) mark(create-35, to-34) advcl(arranging-32, create-35) det(effect-39, a-36) amod(effect-39, harmonious-37) amod(effect-39, visual-38) dobj(create-35, effect-39)  "
"The film offers a constant play of color , muting and revealing it for spectacular effect , arranging hue to guide attention within the frame , and modulating the palette to underscore dramatic developments .","The/DT film/NN offers/VBZ a/DT constant/JJ play/NN of/IN color/NN ,/, muting/VBG and/CC revealing/VBG it/PRP for/IN spectacular/JJ effect/NN ,/, arranging/VBG hue/NN to/TO guide/VB attention/NN within/IN the/DT frame/NN ,/, and/CC modulating/VBG the/DT palette/NN to/TO underscore/VB dramatic/JJ developments/NNS ./."," det(film-2, The-1) nsubj(offers-3, film-2) root(ROOT-0, offers-3) det(play-6, a-4) amod(play-6, constant-5) dobj(offers-3, play-6) case(color-8, of-7) nmod:of(play-6, color-8) dep(offers-3, muting-10) cc(muting-10, and-11) dep(offers-3, revealing-12) conj:and(muting-10, revealing-12) dobj(revealing-12, it-13) case(effect-16, for-14) amod(effect-16, spectacular-15) nmod:for(revealing-12, effect-16) dep(muting-10, arranging-18) dobj(arranging-18, hue-19) mark(guide-21, to-20) advcl(arranging-18, guide-21) dobj(guide-21, attention-22) case(frame-25, within-23) det(frame-25, the-24) nmod:within(guide-21, frame-25) cc(muting-10, and-27) dep(offers-3, modulating-28) conj:and(muting-10, modulating-28) det(palette-30, the-29) dobj(modulating-28, palette-30) mark(underscore-32, to-31) acl(palette-30, underscore-32) amod(developments-34, dramatic-33) dobj(underscore-32, developments-34)  "
"Called the polysubstrate monooxygenase system , these enzymes oxidize the ring structure of the alkaloid , rearranging its electrons and converting it into an unstable compound . ""","Called/VBN the/DT polysubstrate/JJ monooxygenase/NN system/NN ,/, these/DT enzymes/NNS oxidize/VBP the/DT ring/NN structure/NN of/IN the/DT alkaloid/NN ,/, rearranging/VBG its/PRP$ electrons/NNS and/CC converting/VBG it/PRP into/IN an/DT unstable/JJ compound/NN ./. ''/''"," advcl(oxidize-9, Called-1) det(system-5, the-2) amod(system-5, polysubstrate-3) compound(system-5, monooxygenase-4) dobj(Called-1, system-5) det(enzymes-8, these-7) nsubj(oxidize-9, enzymes-8) root(ROOT-0, oxidize-9) det(structure-12, the-10) compound(structure-12, ring-11) dobj(oxidize-9, structure-12) case(alkaloid-15, of-13) det(alkaloid-15, the-14) nmod:of(structure-12, alkaloid-15) dep(oxidize-9, rearranging-17) nmod:poss(electrons-19, its-18) dobj(rearranging-17, electrons-19) cc(rearranging-17, and-20) dep(oxidize-9, converting-21) conj:and(rearranging-17, converting-21) dobj(converting-21, it-22) case(compound-26, into-23) det(compound-26, an-24) amod(compound-26, unstable-25) nmod:into(converting-21, compound-26)  "
"<p> In 1964 , when I was at the International Astronomical Union meeting in Hamburg and was arranging to take over the Central Bureau of Astronomical Telegrams , I described the circumstances of my 1946 cattle-boat trip to a Polish astronomer , Jerzy Dobrzycki .","<p>/RB In/IN 1964/CD ,/, when/WRB I/PRP was/VBD at/IN the/DT International/NNP Astronomical/NNP Union/NNP meeting/NN in/IN Hamburg/NNP and/CC was/VBD arranging/VBG to/TO take/VB over/RP the/DT Central/NNP Bureau/NNP of/IN Astronomical/NNP Telegrams/NNPS ,/, I/PRP described/VBD the/DT circumstances/NNS of/IN my/PRP$ 1946/CD cattle-boat/JJ trip/NN to/TO a/DT Polish/JJ astronomer/NN ,/, Jerzy/NNP Dobrzycki/NNP ./."," advmod(1964-3, <p>-1) case(1964-3, In-2) nmod:in(described-30, 1964-3) advmod(meeting-13, when-5) nsubj(meeting-13, I-6) nsubj(arranging-18, I-6) nsubj(take-20, I-6) cop(meeting-13, was-7) case(meeting-13, at-8) det(meeting-13, the-9) compound(meeting-13, International-10) compound(meeting-13, Astronomical-11) compound(meeting-13, Union-12) advcl:at(described-30, meeting-13) case(Hamburg-15, in-14) nmod:in(meeting-13, Hamburg-15) cc(meeting-13, and-16) aux(arranging-18, was-17) conj:and(meeting-13, arranging-18) advcl:at(described-30, arranging-18) mark(take-20, to-19) xcomp(arranging-18, take-20) compound:prt(take-20, over-21) det(Bureau-24, the-22) compound(Bureau-24, Central-23) dobj(take-20, Bureau-24) case(Telegrams-27, of-25) compound(Telegrams-27, Astronomical-26) nmod:of(Bureau-24, Telegrams-27) nsubj(described-30, I-29) root(ROOT-0, described-30) det(circumstances-32, the-31) dobj(described-30, circumstances-32) case(trip-37, of-33) nmod:poss(trip-37, my-34) nummod(trip-37, 1946-35) amod(trip-37, cattle-boat-36) nmod:of(circumstances-32, trip-37) case(astronomer-41, to-38) det(astronomer-41, a-39) amod(astronomer-41, Polish-40) nmod:to(described-30, astronomer-41) compound(Dobrzycki-44, Jerzy-43) appos(astronomer-41, Dobrzycki-44)  "
"<p> Since the early 1980s art museums have been undergoing an active period of revision , rearranging everything from pictures on the wall to bricks and mortar , as part of an attempt to become more egalitarian institutions .","<p>/RB Since/IN the/DT early/JJ 1980s/NNS art/NN museums/NNS have/VBP been/VBN undergoing/VBG an/DT active/JJ period/NN of/IN revision/NN ,/, rearranging/VBG everything/NN from/IN pictures/NNS on/IN the/DT wall/NN to/TO bricks/NNS and/CC mortar/NN ,/, as/IN part/NN of/IN an/DT attempt/NN to/TO become/VB more/JJR egalitarian/NN institutions/NNS ./."," advmod(undergoing-10, <p>-1) case(1980s-5, Since-2) det(1980s-5, the-3) amod(1980s-5, early-4) nmod:since(undergoing-10, 1980s-5) compound(museums-7, art-6) nsubj(undergoing-10, museums-7) aux(undergoing-10, have-8) aux(undergoing-10, been-9) root(ROOT-0, undergoing-10) det(period-13, an-11) amod(period-13, active-12) dobj(undergoing-10, period-13) case(revision-15, of-14) nmod:of(period-13, revision-15) acl(period-13, rearranging-17) dobj(rearranging-17, everything-18) case(pictures-20, from-19) nmod:from(rearranging-17, pictures-20) case(wall-23, on-21) det(wall-23, the-22) nmod:on(pictures-20, wall-23) case(bricks-25, to-24) nmod:to(rearranging-17, bricks-25) cc(bricks-25, and-26) nmod:to(rearranging-17, mortar-27) conj:and(bricks-25, mortar-27) case(part-30, as-29) nmod:as(rearranging-17, part-30) case(attempt-33, of-31) det(attempt-33, an-32) nmod:of(part-30, attempt-33) mark(become-35, to-34) acl(attempt-33, become-35) amod(institutions-38, more-36) compound(institutions-38, egalitarian-37) xcomp(become-35, institutions-38)  "
"<p> The Koo-Wang meeting yielded several points of consensus on future SEF-ARATS interactions , including ( 1 ) strengthening cross-strait dialogue , ( 2 ) reactivating institutionalized consultations , ( 3 ) promoting cross-strait visits by delegations consisting of members at various levels of the two associations , ( 4 ) assisting each other in handling cases ( of civilian distress ) that arise in the course of cross-strait exchanges , and ( 5 ) arranging for a visit to Taiwan by Mr. Wang Daohan at an opportune time .","<p>/RB The/DT Koo-Wang/NNP meeting/NN yielded/VBD several/JJ points/NNS of/IN consensus/NN on/IN future/JJ SEF-ARATS/NNP interactions/NNS ,/, including/VBG -LRB-/-LRB- 1/CD -RRB-/-RRB- strengthening/JJ cross-strait/JJ dialogue/NN ,/, -LRB-/-LRB- 2/CD -RRB-/-RRB- reactivating/VBG institutionalized/JJ consultations/NNS ,/, -LRB-/-LRB- 3/LS -RRB-/-RRB- promoting/JJ cross-strait/JJ visits/NNS by/IN delegations/NNS consisting/VBG of/IN members/NNS at/IN various/JJ levels/NNS of/IN the/DT two/CD associations/NNS ,/, -LRB-/-LRB- 4/CD -RRB-/-RRB- assisting/VBG each/DT other/JJ in/IN handling/VBG cases/NNS -LRB-/-LRB- of/IN civilian/JJ distress/NN -RRB-/-RRB- that/WDT arise/VBP in/IN the/DT course/NN of/IN cross-strait/JJ exchanges/NNS ,/, and/CC -LRB-/-LRB- 5/CD -RRB-/-RRB- arranging/NNP for/IN a/DT visit/NN to/TO Taiwan/NNP by/IN Mr./NNP Wang/NNP Daohan/NNP at/IN an/DT opportune/JJ time/NN ./."," advmod(yielded-5, <p>-1) det(meeting-4, The-2) compound(meeting-4, Koo-Wang-3) nsubj(yielded-5, meeting-4) root(ROOT-0, yielded-5) amod(points-7, several-6) dobj(yielded-5, points-7) case(consensus-9, of-8) nmod:of(points-7, consensus-9) case(interactions-13, on-10) amod(interactions-13, future-11) compound(interactions-13, SEF-ARATS-12) nmod:on(consensus-9, interactions-13) case(dialogue-21, including-15) dep(dialogue-21, 1-17) amod(dialogue-21, strengthening-19) amod(dialogue-21, cross-strait-20) nmod:including(consensus-9, dialogue-21) appos(dialogue-21, 2-24) acl(points-7, reactivating-26) amod(consultations-28, institutionalized-27) dobj(reactivating-26, consultations-28) dep(visits-35, 3-31) amod(visits-35, promoting-33) amod(visits-35, cross-strait-34) appos(consultations-28, visits-35) case(delegations-37, by-36) nmod:by(visits-35, delegations-37) acl(delegations-37, consisting-38) case(members-40, of-39) nmod:of(consisting-38, members-40) case(levels-43, at-41) amod(levels-43, various-42) nmod:at(members-40, levels-43) case(associations-47, of-44) det(associations-47, the-45) nummod(associations-47, two-46) nmod:of(levels-43, associations-47) appos(members-40, 4-50) acl(members-40, assisting-52) det(other-54, each-53) dobj(assisting-52, other-54) mark(handling-56, in-55) advcl(assisting-52, handling-56) dobj(handling-56, cases-57) nsubj(arise-64, cases-57) case(distress-61, of-59) amod(distress-61, civilian-60) nmod:of(cases-57, distress-61) ref(cases-57, that-63) acl:relcl(cases-57, arise-64) case(course-67, in-65) det(course-67, the-66) nmod:in(arise-64, course-67) case(exchanges-70, of-68) amod(exchanges-70, cross-strait-69) nmod:of(course-67, exchanges-70) cc(consultations-28, and-72) appos(consultations-28, 5-74) dobj(reactivating-26, arranging-76) conj:and(consultations-28, arranging-76) case(visit-79, for-77) det(visit-79, a-78) nmod:for(yielded-5, visit-79) case(Taiwan-81, to-80) nmod:to(visit-79, Taiwan-81) case(Daohan-85, by-82) compound(Daohan-85, Mr.-83) compound(Daohan-85, Wang-84) nmod:by(yielded-5, Daohan-85) case(time-89, at-86) det(time-89, an-87) amod(time-89, opportune-88) nmod:at(Daohan-85, time-89)  "
